Date,COST,HD,JNJ,XOM,V,LLY,UNH,JPM,AVGO,TSLA,META,GOOGL,NVDA,AMZN,MSFT,AAPL
43461,0.004762814,-0.000587338,-0.001099474,-0.011232034,-0.008138421,0.011537387,0.001097109,-0.002166391,0.010863599,0.054598145,-0.009861181,-0.005925012,0.018730191,0.011144261,-0.007838518,0.000512222
43462,0.008231785,0.009355734,0.013889159,0.0002934,0.007608071,0.013222218,0.011627998,0.008125537,0.002717244,-0.003209972,-0.015967656,-0.001644624,-0.001122905,0.016074252,0.011685625,0.009618879
43465,0.005141089,0.003427926,-0.01012472,0.021758908,0.007400139,-0.00728541,-0.022858794,0.01716383,-0.003032768,-0.070582343,0.034415041,0.009258796,0.020169748,0.024439663,-0.004440256,0.001140442
43467,-0.021423383,-0.022287023,-0.016018009,-0.015472783,-0.036702016,-0.031568996,-0.02764884,-0.022401884,-0.093158685,-0.03197758,-0.029468799,-0.028086398,-0.062319121,-0.025565525,-0.037481729,-0.104924356
43468,0.028625409,0.029280612,0.016644052,0.036206271,0.042178985,0.029652179,0.01162726,0.036202143,0.009780508,0.056094294,0.046060958,0.050021381,0.062098894,0.048851116,0.045460072,0.041803243
43469,0.00367823,0.019506682,-0.006435433,0.005186736,0.017871553,0.005392681,0.001917895,0.000694962,0.020161546,0.052935088,0.000724681,-0.001996277,0.051586873,0.033776507,0.001274553,-0.002228327
43472,0.007460042,0.00478972,0.022960925,0.007244445,0.005424077,0.009152961,0.013281909,-0.001887469,-0.008058219,0.001163641,0.031936537,0.008744833,-0.025210473,0.01647588,0.007224526,0.018883701
43473,0.006452363,0.010290326,-0.007957198,0.005260943,0.011700297,0.007450285,0.001437603,-0.001691775,0.042340695,0.009437908,0.011856723,-0.003433308,0.019475847,0.001712895,0.014198278,0.016839154
43474,0.003519312,-0.003734768,0.006031676,-0.005122113,0.001876672,-0.010894356,0.005035715,-9.96364E-05,0.013069992,0.018844728,-0.000208016,-0.002610495,0.018415419,-0.001930295,-0.00644635,0.003191094
43475,-0.000617376,0.001952778,0.000308279,-0.004590701,-0.004408637,0.002067879,0.01136977,-0.00479277,0.004199262,0.00661638,-0.002777738,-0.013400154,0.02448605,-0.009500214,-0.007751928,-0.009866538
